C3,CZ,C4
1.6681118,2.6562839,4.245615
9.010185,14.407139,23.087357
23.112288,37.029934,59.414455
39.10957,62.719986,100.693924
51.40103,82.48137,132.46959
58.12902,93.31937,149.91795
60.634457,97.3713,156.4572
61.268692,98.40007,158.1205
61.654064,99.006355,159.0821
62.12885,99.73862,160.22849
62.163933,99.75947,160.22646
61.147385,98.10025,157.5336
58.987324,94.623505,151.93912
56.262203,90.26054,144.94193
53.945953,86.56957,139.03993
52.927105,84.966064,136.49608
53.58649,86.04914,138.26062
55.624092,89.32835,143.53676
58.18975,93.43657,150.12599
60.239254,96.70234,155.34793
60.954346,97.82182,157.11781
60.05445,96.35547,154.74039
57.884285,92.86445,149.12498
55.25603,88.65459,142.37132
53.12021,85.247475,136.91951
52.199764,83.79503,134.61142
52.728138,84.662445,136.02417
54.38486,87.328445,140.31343
56.442856,90.62413,145.59975
58.061153,93.20324,149.72418
58.60544,94.0551,151.07074
57.87481,92.86551,149.14299
56.15434,90.09805,144.69162
54.083035,86.77998,139.36827
52.396336,84.088585,135.06097
51.64646,82.903786,133.17664
52.006474,83.49619,134.14282
53.226894,85.460236,137.30289
54.752583,87.90353,141.22203
55.947117,89.80729,144.26648
56.334564,90.41314,145.22359
55.76718,89.490036,143.72835
54.460682,87.388565,140.34831
52.89184,84.87512,136.31561
51.605022,82.821106,133.02763
51.005547,81.8724,131.51726
51.21796,82.223785,132.09216
52.05801,83.57589,134.2678
53.121433,85.27891,136.99956
53.94878,86.59741,139.108
54.199665,86.98894,139.72572
53.77073,86.29182,138.59727
52.817215,84.75824,136.13074
51.67683,82.93094,133.19864
50.731304,81.42099,130.78091
50.261757,80.6764,129.59395
50.352303,80.82874,129.84567
50.87422,81.669014,131.19798
51.55038,82.75186,132.93492
52.069622,83.5792,134.25778
52.204533,83.78857,134.5869
51.888336,83.27551,133.75726
51.225742,82.20997,132.04361
50.439186,80.94934,130.02052
49.776245,79.88995,128.32347
49.416077,79.31734,127.40918
49.409897,79.311646,127.40427
49.674587,79.73806,128.0908
50.036655,80.31788,129.02083
50.305332,80.74571,129.70465
